Name of he course ,Link,Rating,Duration,Level
Discovering Digital Marketing,https://www.udacity.com/course/discovering-digital-marketing--cd2841,na,2 months, Intermediate
Data Stewardship Fluency,https://www.udacity.com/course/data-stewardship-fluency--cd12589,na,2 months, Intermediate
"Build CI/CD Pipelines, Monitoring, and Logging",https://www.udacity.com/course/building-a-continuous-integration-pipeline--cd12354,na,2 months, Advanced
Creating Visualizations with Power BI,https://www.udacity.com/course/creating-visualizations-with-power-bi--cd0013,na,2 months, Intermediate
Java Fundamentals,https://www.udacity.com/course/java-fundamentals--cd0282,na,2 months, Intermediate
Delivering Value with Agile Planning and Prioritization,https://www.udacity.com/course/delivering-value-with-agile-planning-and-prioritization--cd0042,na,2 months, Intermediate
Blockchain Fluency,https://www.udacity.com/course/blockchain-fluency--cd12332,na,2 months, Intermediate
Introduction to Deep Learning,https://www.udacity.com/course/introduction-to-deep-learning--cd1818,na,2 months, Intermediate
Preparing and Modeling Data with Power BI,https://www.udacity.com/course/preparing-and-modeling-data--cd0012,na,2 months, Advanced
Digital Marketing Fluency,https://www.udacity.com/course/digital-marketing-fluency--cd5230,na,2 months, Advanced
Server Deployment and Containerization,https://www.udacity.com/course/server-deployment-and-containerization--cd0157,na,2 months, Beginner
Advanced Computer Vision and Deep Learning,https://www.udacity.com/course/advanced-computer-vision-and-deep-learning--cd0361,na,2 months, Beginner
Advanced Data Wrangling,https://www.udacity.com/course/advanced-data-wrangling--cd12531,na,2 months, Beginner
Preparing and Modeling Data with Power BI Fluency,https://www.udacity.com/course/preparing-and-modeling-data-with-power-BI-fluency--cd12043,na,2 months, Advanced
Cybersecurity Foundations,https://www.udacity.com/course/cybersecurity-foundations--cd0001,na,2 months, Beginner
Dashboard Design,https://www.udacity.com/course/dashboard-designs--cd0232,na,2 months, Beginner
Computer Vision and Generative AI,https://www.udacity.com/course/computer-vision-and-generative-AI--cd13331,na,2 months, Beginner
Introduction to Data Analysis with Pandas and NumPy,https://www.udacity.com/course/intro-to-data-analysis--cd12529,na,2 months, Beginner
Introduction to Web Development,https://www.udacity.com/course/intro-to-web-development--cd0038,na,2 months, Advanced
Blockchain Developer,https://www.udacity.com/course/blockchain-developer--nd1310,na,2 months, Advanced
RPA Fluency,https://www.udacity.com/course/rpa-fluency--cd5232,na,2 months, Advanced
Data Modeling,https://www.udacity.com/course/data-modeling--cd0029,na,2 months, Advanced
Zero Trust Security,https://www.udacity.com/course/zero-trust-security--cd11535,na,2 months, Advanced
Embedded Systems Fundamentals,https://www.udacity.com/course/embedded-systems-fundamentals--nd790,na,2 weeks, Beginner
Foundations of Agile and Agile Frameworks,https://www.udacity.com/course/foundations-of-agile-and-agile-frameworks--cd0043,na,2 weeks, Fluency
Building a Reproducible Model Workflow,https://www.udacity.com/course/building-a-reproducible-model-workflow--cd0581,na,2 weeks, Fluency
Introduction to Data Science,https://www.udacity.com/course/introduction-to-data-science--cd0017,na,2 weeks, Fluency
Data Privacy,https://www.udacity.com/course/data-privacy--cd1826,na,2 weeks, Intermediate
Introduction to Artificial Intelligence,https://www.udacity.com/course/intro-to-artificial-intelligence--cd0327,na,2 weeks, Fluency
Advanced Java Programming Techniques,https://www.udacity.com/course/advanced-java-programming-techniques--cd0381,na,2 weeks, Fluency
Data Architecture Foundations,https://www.udacity.com/course/data-architecture-foundations--cd0041,na,2 weeks, Intermediate
Multi-Cloud Computing,https://www.udacity.com/course/multi-cloud-computing--cd11573,na,2 weeks, Beginner
Monolith to Microservices at Scale,https://www.udacity.com/course/monolith-to-microservices-at-scale--cd0354,na,2 weeks, Fluency
Backend Development with Node.js,https://www.udacity.com/course/backend-development-with-node-js--cd0292,na,2 weeks, Fluency
