Link,Type,Name,Instructure,Level,Duration,Date created,Rating
https://www.pluralsight.com/courses/access-2019-power-users,courses,Access 2019 Power Users,by Shari Oswald,Intermediate,1h 50m,05-Sep-19,16.0
https://www.pluralsight.com/courses/amazon-rds-service-introduction,courses,Amazon RDS Service Introduction,by AWS,Beginner,5m,03-Sep-20,10.0
https://www.pluralsight.com/courses/amazon-aurora-best-practices,courses,Amazon Aurora: Best Practices,by Kim Schmidt,Advanced,4h,07-Oct-20,18.0
https://www.pluralsight.com/courses/mariadb-data-manipulation-playbook,courses,MariaDB Data Manipulation Playbook,by Pinal Dave,Intermediate,1h 34m,12-Nov-19,11.0
https://www.pluralsight.com/courses/microsoft-azure-optimizing-data-solutions,courses,Optimizing Microsoft Azure Data Solutions,by John Savill,Intermediate,2h 46m,19-Feb-20,19.0
https://www.pluralsight.com/courses/amazon-dynamodb-service-introduction,courses,Amazon DynamoDB Service Introduction,by AWS,Beginner,5m,03-Sep-20,14.0
https://www.pluralsight.com/courses/sql-server-configuring-troubleshooting-log-shipping,courses,"SQL Server: Understanding, Configuring, and Troubleshooting Log Shipping",by Glenn Berry,Beginner,1h 33m,23-Jan-18,26.0
https://www.pluralsight.com/courses/microsoft-azure-deploying-sql-server-containers,courses,Deploying SQL Server Containers in Microsoft Azure,by John Savill,Advanced,2h 21m,01-May-20,40.0
https://www.pluralsight.com/courses/solution-detail-internet-tracking,courses,Solution Detail: Internet of Tracking,by AWS,Beginner,7m,08-Feb-21,
https://www.pluralsight.com/courses/managing-ssas-models,courses,Managing SSAS Models,by Patrick Neborg,Intermediate,3h 21m,10-Mar-21,
https://www.pluralsight.com/courses/adding-user-resource-rails-application,courses,Adding a User Resource to a Rails Application,by Raphael Alampay,Intermediate,1h 39m,02-Mar-21,12.0
https://www.pluralsight.com/courses/microsoft-azure-monthly-update-march-2021-episode-2,courses,"Microsoft Azure Monthly Update: March 2021, Episode 2",by John Savill,Beginner,24m,02-Mar-21,
https://www.pluralsight.com/courses/amazon-neptune-best-practices,courses,Amazon Neptune: Best Practices,by Anthony Sequeira,Advanced,3h,01-Oct-20,
https://www.pluralsight.com/courses/optimizing-data-warehouse-microsoft-sql-server-platform,courses,Optimizing a Data Warehouse on the Microsoft SQL Server Platform,by Thomas LeBlanc,Intermediate,3h 4m,01-Apr-20,13.0
https://www.pluralsight.com/courses/microsoft-azure-data-infrastructure-security-configuring,courses,Configuring Microsoft Azure Data Infrastructure Security,by Sahil Malik,Advanced,3h,27-May-20,18.0
https://www.pluralsight.com/courses/c-sharp-10-data-access-fundamentals,courses,Data Access in C# Fundamentals,by Filip Ekberg,Intermediate,4h 18m,08-Mar-24,75.0
https://www.pluralsight.com/courses/java-basic-web-app,courses,Java: Creating a Basic Web App (Interactive),by Sarah Holderness,Beginner,1h 18m,28-Oct-21,25.0
https://www.pluralsight.com/courses/enterprise-data-modeling-getting-started,courses,Enterprise Data Modeling: Getting Started,by Joseph Cline,Beginner,1h 38m,16-Aug-19,153.0
https://www.pluralsight.com/courses/data-modeling-partitioning-patterns-azure-cosmos-db,courses,Data Modeling and Partitioning Patterns in Azure Cosmos DB,by Leonard Lobel,Intermediate,1h 47m,25-Mar-20,121.0
https://www.pluralsight.com/courses/sqlserver-2016-installing-configuring,courses,SQL Server: Installing and Configuring SQL Server 2016,by Glenn Berry,Beginner,2h 1m,09-Jan-18,111.0
